,Ground_truth,Prediction,trial,trial2
296,"to other day , my lord . A being of whom","to # other day , my lasd . A being of wham",,"
To the other day, my last being of whom."
297,the forest Indians are said to be mortally,thet farest Iudians are said to be mastally,,"
The farthest Indians are said to be mentally."
298,"afraid , with a hoof shaped like the heel","afraid , with a froof shaped like the heel",,"
Afraid, with a roof shaped like a heel."
299,of a bottle . If your lordship will excuse me,of a battle . If your lardship will excuse me,,"
    Of a battle. If your lordship will excuse me."
300,"Small , repulsive creatures they were ,","Small , repulsive creatures they mere ,",,"
Small, repulsive creatures they were,"
301,"with black , matted hair and a striking","with black , matted hair and striking",,"
With black, matted hair and striking."
302,resemblance to the shrunk heads we had,resemblance to the shunk heads we had,,"
Resemblance to the shrunk heads we had"
303,gazed at recently ; and I have no,gazed at reutly ; and I have no,,"
Gazed at recently; and I have no."
304,hesitation in saying that they would have,hesitation in saying that they would have,,"
    Hesitation in saying that they would've"
305,made an end of us but for an intervention,made an end of us but for on infervention,,"
    Made an end of us but for one intervention."
306,"so unexpected , so unusual , that only the","so unexpected , so musual , that anle the",,"
So unexpected, so unusual, that it enabled the"
307,necessity of rounding my narrative,necessity of rounding my worrative,,"
Necessity of rounding off my narrative"
308,compels me to mention it .,compels me to meation i t .,,"
    Compels me to meditate on it."
309,I had a distinct impression that the,I hada distinct impression that the,,"
I had a distinct impression that the"
310,hut had recently been cleaned and,hut had recently been cleaned aind,,"
    The hut had recently been cleaned and"
311,prepared for visitors . Mrs Caine said,prepared for risiturs . Mrs Caine said,,"
    Prepared for visitors. Mrs. Caine said."
312,we were to go no further unless and,we were to go wo further mless anel,,"
We were to go no further unless anel."
313,"until we were sent for , confirming","until we were sent for , confinming",,"
Until we were sent for, confirming."
314,another impression that became more,another impession that became more,,"
Another impression that became clearer"
315,"and more definite , namely , that","and more definite , namly , that",,"
and more definite, namely, that"
316,she was in touch with an invi-,she was in touch with an invi-,,"
She was in touch with an invigilator."
317,sible source of authority .,gible source of autherity .,,"
    Credible source of authority."
318,"Sally and of course Mrs Septimus , for surely","Jolly and of course Mrs Septinus , for surely",,"
Jolly and of course Mrs. Septimus, for surely"
319,Mr Septimus stood in the same case as,Mr Septinus tood in the same case as,,Mr Septimus stood in the same place as
320,myself ? But was it so ? I allowed myself,myself ? But was it sc ? I allowed myself,,"
Myself? But was it sc? I allowed myself."
321,"to entertain for an instant the idea , the","to entertain for an nstont the idea , the",,"
To entertain for an instant the idea, the"
322,"strange , the unwelcome , the almost"," strange , the unwelcom , the dmost",," Strange, the unwelcome, the most"
323,"inconceivable idea , that Ariadne's arrival","inconveniancale idea , hat Ariodne's arrival",,"
Inconvenience idea, that Ariadne's arrival"
324,would be inopportune ; and with the idea came,would be inoppostune ; and with the idea come,,"
would be inopportune; and with the idea come"
325,"a somewhat vulgar impulse , which I refused ,","a somewhat rulgar impuls , which Irefused ,",,"
A somewhat vulgar impulse, which I refused."
326,"to watch Mr Septimus more closely , Mrs","to watch Mr Deptimus more closely , Mrs",,"
To watch Mr Demetrius more closely, Mrs."
327,Caine too and Mr Gilberto who would ...,Caine too and Mr Gilberto who would ...,,"
Caine too and Mr. Gilberto, who would..."
328,But all three were to the casual,But all three were to the casual,,But all three were to the casual observer.
329,observation I permitted myself unruffled ;,oboservation ? permitted my self unruffled ;,,"
Observation was permitted; I remained unruffled."
330,Mr Septimus reserved and certainly very,Mr Septimus reserved and certainly very,,"
Mr Septimus was reserved and certainly very."
331,"thoughtful , but that was his habit . Indeed","thoughtful , but that was his hobit . Indeed",,"
    Thoughtful, but that was his habit. Indeed."
332,we were all invaded by a most tranquil,We were all invaded by a most tranguil,,We were all invaded by a most tranquil
333,"mood . Even the Indian servants relaxed , knowing ,","mood . Even the Indion servants relased , bnowing ,",," Mood. Even the Indian servants released, knowing."
334,"so Mr Gilberto told us , that the wild and","so Mr Gilberto told us , that the wild and",,"
So Mr. Gilberto told us that the wild and"
335,savage tribes never approached this region : at,savage tribes never approachd this region : at,,"
Savage tribes never approached this region at."
336,"any rate they remained with us , perhaps","any rate hey remained with nd , perhaps",,"
Any rate, they remained with and, perhaps."
337,"for such protection as our presence , or Mrs","for such protection as our presence , or Mrs",,"
For such protection as our presence, or Mrs."
338,But after what Mrs Caine had said it was never,But after what Mrs Conhe had said it was never,,But after what Mrs Conner had said it was never
339,far from our minds that at any moment we were,far from our minds tat at ary mament we were,,"
Far from our minds that at any moment we were"
340,to receive a summons . I could see that Mr Septimus,to receive a sumarns . I caned see that Mr Septitin,,"
To receive a summons. I can see that Mr. Seppitin."
341,"was impatient for it . This afternoon , then , we climbed","was impotient for it . Teis aftonoon , thar , weclimbred",,"
Was impatient for it. This afternoon, there, we climbed."
342,"a promontory , a mass of clean rock crowned with","a promntary , a mans of cecon roc cranred with",,"
A promontory, a mass of economic rock craggered with."
343,"trees and bushes , that stood well out over the lake .","trees and buscres , teat steod weee out over the eacre .",," Trees and bushes, tall trees stood out over the acre."
344,NO ONE has ever satisfactorily explained how a,NO ONE has ivis satisfactovily axplanid how as,,"
No one has satisfactorily explained how as."
345,single-decker Welsh bus could have got,singla-deoln Walsh bus could havs yot itself,,"
Single-deployed Walsh bus could have bought itself."
346,itself into orbit . Shooting up over the pass a bit,into orbst . Shooting up ovr the puss a but,,"
Into orbit. Shooting up over the sky, a burst."
347,"too carefree , and becoming airborne ?","too car-foir , and brcoming alrborn ?",,"
Too far-fetched, and becoming overwhelmed?"
348,Caught by a sudden gust of wind ? A,Cought bya sudden gust of wind ? A,,"
Caught by a sudden gust of wind? A"
349,combination of the two ? No one seems,combination of the tho ? No onr sirms,,"
Combination of the two? No one confirms."
350,to know . But the fact remains that get,to know . But the fact rmains that git,,"
To know. But the fact remains that it."
351,itself into orbit it did .,atgelf into orbut it did,,"
    At least it tried."
352,"And a fine old fuss there was about it , too .","And a fins old fuss thire was about it , too ",,"
And a fine old fuss there was about it, too."
353,"Here are the known facts . On 10th July ,","Hire ar the bown facts . On 1Oth Joly ,",,"
Here are the brown facts. On 10th July,"
354,"the bus , the 2.20 from Dinas to Llangrwl ,","the bus , the 2.20 from Dinas to Mangrwl ,",,"
The bus, the 2.20 from Dinas to Maesteg."
355,left Dinas at two-thirty-five as usual .,loft Dinas at two-thirty fire as usual .,,"
Left the diner at two-thirty sharp as usual."
356,"Aboard , apart from the crew , were Mrs. Megan","Aboard , apart from the crow , wire Mrs. Migan",,"
Aboard, apart from the crow, there was Mrs. Migan."
357,Thomas and her five-year-old son Cadwallader ;,"Thomas an d hir fiva-yeor-old son Cadmillader ,",,"
Thomas and his five-year-old son Cadmillader,"
358,pretty little Morfydd Owen ; Mr. Stanley Hayball,pritty 1ittl Morfyold Ouron ; Mr. Stunkiy Hapball,,"
Pretty little Morfyold Ouron; Mr. Stinky Happyball"
359,"and Miss Ethel Yates , hikers from","and ld. Miss Ethil Vatrs , hiliss from",,"
And old Miss Ethyl Waters, hillside from."
360,Birmingham ; Price the Provisions ; and the,Birminghum ; Price the Provisions ; and the,,Birmingham; Price the Provisions; and the
361,"Yes , the bus set out from Dinas . So much","MTas , the bus sut out from Drvas . So much",,"
    Metas, the bus shutt out from Davras. So much."
362,"is established . Ifor Huw Evans , Propr. ,","is cstablishrd . Ifor Hew Evans , Propr. ,",,"
is established. For Hew Evans, Proprietor."
363,watched it go from the windows of the,watchid it go from the windons of the,,"
Watch it go from the windows of the"
364,"Dinas Motor Omnibus Co. Very interested ,","Dinas Motor Ounibrs Co . Vovy intrustird ,",,"
Dinas Motor Omnibus Co. was entrusted,"
365,"Ifor was . For there was his garage hand ,","for was . For thise was his gangp hand ,",,"
For this was his gang's hand."
366,"Dai Pugh , taking a tearful farewell of","Bai Pugh , taking a trarfol farmoll of",,"
Bai Pugh, taking a thorough form of"
367,"Morfydd Owen . Morfydd , who had until","Mortyod Owin . Mortyld , who had until",,"
Mortyod Owin, who had until"
368,"recently been Ifor's typist , but was now","vicently bren for's tupist , but was now",,"
Vicente Bren for's typist, but was now."
369,returning to her home town as a,vitouning to he home town as a,,"
Visiting his home town as a"
370,fully-fledged schoolteacher .,filly afledyed school kachir .,,"
Filly happily attended school yesterday."
371,""" But I 'm only going fifteen miles away , """,""" But I 'm onty going tiftion wilas away , """,,"
""But I'm only going twenty miles away,"""
372,"Morfydd was saying . "" Not the end of","Morfyld was saying . "" Not the ind of",,"
Morfyld was saying, ""Not the kind of"
373,"the world , is it ? "" "" For me it is , "" Dai","the norld , is it ? ' "" for me it is , "" Dui",,"
The world, is it? '""For me it is,"" said."
374,"said wretchedly , wiping his hands on his","said wutch adly , wiping his hads on his",," said watch sadly, wiping his hands on his"
375,"overalls preparatory to a last embrace . "" You",ornalls proparatory to a last mbrace . ' You,,"
    Ornate preparations for a lasting embrace. You"
376,will not be remembering a mere garage,mill not to rmombering umour garago,,"
    Mill not to remembering humour garage."
377,hand when you are lording it over,hand whom you are lording it our,,"
Hand over whom you are lording it over."
378,"the Mixed Infants of Llangrwl . ""","the Mirad Infents of Llangun ) . """,,"
The Mirad Infants of Llangun)."
379,""" Silly boy , "" said Morfydd . Though she",""" gihy boy , "" said Mortyd . Though shir",,"
""Guy, "" said Morty. Though shear."
380,"could not help wondering whether , now she","could not help wondiving whithr , now she",,"
Could not help wondering whether, now she"
381,"had qualified as a schoolteacher , poor","had qualifird as aschooltrachi ,poop",,"
Had qualified as a schoolteacher, pooped."
382,little Dai was quite the man for her .,little Dai was quite the man for her .,,"
Little Daisy was quite the man for her."
383,A nice boy of course . But perhaps in the,Anice boy of course . Bit prhops in the,,"
A nice boy of course. But perhaps in the"
384,new world she was entering there might,how would shr wus intiring thire might,,"
How would she be interesting there tonight?"
385,"be boys equally nice , and with far more","bor boys oqually nica , and with for mons",,"
    Boys are treated equally nicely, and with respect for all."
386,to offer . The conductor rang his bell .,to offor . The condictor rang his bill .,,"
The conductor rang his bell."
387,""" Good-bye , Dai , "" said Morfydd , smiling from the bottom step .",""" Good- bge , wsin . "" s aid Holjold , miling from the bottom tep .",,"
""Goodbye,"" said Holjold, smiling from the bottom lip."
388,""" Good-bye , Morfydd . "" He sought to enfold her in his arms . But he was too late .",""" God-by . afold . ' She sought to enfold for in his armes . But he nen to late .",,"
""Goodbye. Afraid, she sought to enfold him in her arms. But he was too late."
389,"She was already up the bus steps , and the bus was away . And Morfydd Owen","The was sready uy the Per steps , wothe fors sas say . And Mafeold onen",,"
The was ready by the Pier steps, with the force as say. And Makefield onen."
390,"waving , unkissed , from the window . And Dai , on the pavement , knowing in his","monsing , urtinad , from the wirdrs . Inrd alin , on the parerment , hmnowing in his",,"
Monsing, returning, from the wonders. Indulging, on the pavement, knowing in his."
391,heart that Morfydd was leaving him as surely as she was leaving Dinas .,sant that Hhabyeld was learving hwim as surely as she was beaving dmis .,,"
    Sent that Habyeld was leaving him as surely as she was leaving home."
392,"So the bus set out for Llangrwl . But it never reached there ! Somewhere ,","so the hes st out for flangrif . Tnut it nower racked ther ! Somerwtion ,",,"
So the he's st out for flanger. But it nower rocked there! Something,"
393,"on those fifteen miles of mountain roads , it disappeared from the earthly","on those bfeen miles of montain wads , t disuppeared from the eothly",,"
On those steep miles of mountain roads, it disappeared from the earthly."
394,scene . The first intimation that all was not well came when a,wone . Whe first intirmation that all wan not sell comse when a,,"
One. The first indication that all was not well came when a"
395,"Mr. Isaiah Roberts , landlord of The Traveller's Joy , rang up the","Mr. Lainh Doderts , Lonblod of The broveller's joy , song ing the",,"
Mr. Lainh Doderts, Lord of The Traveller's Joy, sang the"
396,Dinas Motor Omnibus Co. to ask what had happened to their,abunis Miltwr Ormsito ds . to ast whot hod harproned tor their,,"
Abundant Milton Ormsito does. To ask who had harpooned for their."
397,""" Left here all right , "" said Ifor . "" Two-thirty-five , on the dot . "" "" It 's",""" gft fer all right , ' said for . "" Yuo-thily -fie , wnthe 2t . "" "" It '.",,"
""Gift her all right,"" said four. ""You-thily-fie, with the twenty-second."" ""It's."""
398,"supposed to leave at two-twenty . "" "" Who says so ? "" "" Your timetable . ""","souppoed to boas of tno-trerty . "" "" Estwho says so ? "" you tiretaltle , '",,"
Supposed to boast of thirty. ""Who says so?"" You retort, '"
399,""" Don't want to take too much notice of those old timetables , "" Ifor said ,",""" son't wout to traln to muh notice of tre oted timatales , ' Sor wid ,",,"
""Don't want to train to much notice of the quoted timelines, 'Sore wid,"""
400,"reasonably . "" Start running punctual and where are you ? People get","pensonally . ""' Stot surming punctual and where are yon ? Denple ot",,"
Personally, ""Stop assuming punctual and where are you? People of"
401,"left behind , isn't it ? Very exasperating for one and all . ""","polf # bettind , inn'tit ! Pery eseasperating for ere and all . """,,"
    Couldn't it be frustrating for everyone?"
402,""" And what are you going to do about it ? "" Tendentious , Mr. Roberts sounded .",""" And shut ase you going to do dout'it ! ' Sendartioin , Mr. Bodets soubled s",,"
""And what are you going to do about it? Send a notification, Mr. Boddets doubled up!"""
403,""" What do you want me to do ? Send out a sheriff's posse , is it ? "" No sense",""" What So eyen ment ma to do ! Send out a Sterf's grose , init ! ' o emse",,"
""What do you even mean me to do? Send out a survey, init! ' Of course!"
404,"of humour , that Isaiah . He banged down the receiver . Very uncivil . Dropped","of frmom , that Sraich . He langed . Sown tlo earsis , lery umaisit . ahoppet",,"
Of from, that reached. He languished. Sown to ears, very amiss. A hoppet."
405,"the mask , now , Ifor did . "" Dai Pugh , "" he bellowed . "" Leap on your bicycle","He mosh , now , for tid . ' dean brugh . fe bolloned . "" Seap on your biugehe",,"
He marched, now, for pride. 'Dean laughed. Fee followed. ""Sleep on your pillow."""
406,and scour the countryside between here and The Traveller's Joy .,and now tho vountryids between Dore and the brovallas's Joy .,,"
And now the countries between Dover and the Bravallas' Joy."
407,The two-twenty to Llangrwl has failed to,The two-twenty to Cangrul has foiled to,,"
The 2:20 train to Cangrul has failed to"
408,"complete her mission . "" Paled , did Dai . For the","Complete her mission . "" Paled , did Dai . For the",,"
Complete her mission. ""Failed, did Dai. For the"
409,"two-twenty carried , for him , a cargo more","two-twent y carried , for him , a congo more",,"
Two-twenty carried, for him, a cargo more."
410,precious than jewels . Though Mofydd Owen,precious than gevels . Though Motyold Oven,,"
Precious than levels. Though Mouldy Oven."
411,"was , as he feared , departed out of his life ,","was , as he feared , departed out of his life ,",,"
Was, as he feared, departed out of his life."
412,"he still loved her dearly . Already , even","he still loved her dearly . Mlready , even",,"
He still loved her dearly, already even."
413,as with trembling fingers he fastened his,as with trembling fingers he fartened his,,"
As with trembling fingers he fastened his"
414,"trouser clips , he was seeing her lying in","frouser clips , he was seling her lying in",,"
    Scissors clips, he was selling her lying in."
415,"some dreadful ravine , or beset by","some dreadful vovine , or beset by",,"
Some dreadful bovine, or beset by"
416,"robbers , or being whisked off to Emergency","crobbers , or being whisked off to Emergency",,"
    Cobblers, or being whisked off to Emergency"
417,"But even his imagination , luckily for him ,","But even his imagination , Ruckily for him ,",,"
But even his imagination, luckily for him,"
418,did not visualise the awful truth - that,did not visualise the awtul truth - that,,"
Did not visualize the awful truth - that"
419,Morfyyd Owen was already qualifying for,Mortuyd Owen was already qualitying for,,"
Morty Owen was already qualifying for"
420,"the title of "" First Woman to Enter Space . ""","the title of "" First Noman to Enter Space . """,,"
The title of ""First Person to Enter Space."""
421,""" Where are we going , Mam ? "" inquired little",""" Where are we going , Mam? "" inguired little",," ""Where are we going, Mom?"" inquired little"
422,Cadwallader when his child mind grasped,Ladwallader when his child mind grasped,,"
Ladwallader, when his child's mind grasped"
423,the fact that the green earth was falling,the fact that the green earth was failing,,"
The fact that the green Earth was faltering."
424,away at a rate of knots .,away at a rabe of knots .,,"
Away at a rave of knots."
425,Where indeed ? Megan Thomas spoke sharply,Where inded ? Megan Thomas spoke sharply,,"
Where indeed? Megan Thomas spoke sharply."
426,"to the conductor , demanding an explanation .","to the conductor , demanding an explanation .",,"
To the conductor, demanding an explanation."
427,"But nonplussed , the conductor was . A","But won plussed , the conductor was . A",,"
But won plus, the conductor was a."
428,"good man , mind ; knew his job . But out of","good man , mind ; kenew his job . But out of",," Good man, minded his job. But out of"
429,depth in this particular instance . Fingered,depth in this pasticular instance . Fingesed,,"
Depth in this particular instance. Fingered"
430,his ticket-punch nervously . Peered out of,his ticket-punch bervously . Peered out of,,"
His ticket-puncher nervously peered out of."
431,the window . Went and consulted the driver .,the window . Went and consulted the driver .,,"
The window went and consulted the doctor."
432,""" Where are we going ? "" he echoed Cadwallader .",""" Where are we going ? "" he echoed Cadwallader .",,"
""Where are we going?"" he echoed, Cadwallader."
433,""" Damned if I know , boy , "" said the driver .","Damned if I know , boy , "" said the driver .",,"
    Damned if I know, boy,"" said the driver."
434,""" But something very untoward has",""" But something very untoward has",," ""But something very untoward has happened."""
435,"happened , if you ask me . ""","bappened , it lou askme. .",,"
    What happened, it looked like you asked me?"
436,"Immersed in the Dinas Advertiser , was the","Fmmersed in the Diuas Aduentiser , was the",,"
Immersed in the Dias Adventurer, was the"
437,"Rev. Edwards . Now he put down his paper ,","Rer. Edwards . Nor he put down his paper ,",,"
Rev. Edwards nor put down his paper,"
438,"folded it , and glanced idly out of the","tolded it , and glanced idly out of the",,"
Told it, and glanced idly out of the"
439,"window . Looked again , eyes starting from","window . Looked again , eyes starting from",,"
Window. Looked again, eyes starting from."
440,"his head . "" God bless my immortal soul , ""","his head . "" Iod bless my immostal sod , """,,"
    His head. ""God bless my immortal soul,"""
441,"he cried . "" Never mind your immortal","he cried . "" Never mind your immortal",,"
He cried, ""Never mind your immortal."
442,"soul , "" said Megan Thomas tartly .","Soed . "" Said Mogan Thomas tartly .",,"
""So,"" said Morgan Thomas tartly."
443,""" Here we are traversing the heavens at the",""" Here we are travesing the heavens at the",," ""Here we are traversing the heavens at the"
444,very moment when we should be,very moment when we should be,,"
Very moment when we should be together."
445,running into Llangrwl bus station .,running into langrwl bus statcoin .,,"
Running into the language lab bus station."
446,And no one doing the first thing about,And no ome doing the first thing about,,"
And no one doing anything about it."
447,"it . "" Stung , the conductor was . "" What you","it . "" Stung , the conductor was . "" What your",,"
It said, ""Stunned, the conductor was."" What were you?"
448,"expect me to do ? "" he inquired , bitter .","expect me to do ? "" he inquined , bitter .",,"
Expect me to do what? "" he inquired, bitterly."
449,""" Radio Flying Control at London Airport ,",""" Radio Flying Coutrd at London Dimport ,",,"
""Radio Flying Court at London Import,"""
450,"is it ? "" "" Mutual recriminations will get","is it ? "" "" Mutual recriminations will get",,Is it true that mutual recriminations will get us nowhere?
451,"us nowhere , "" boomed the Rev. Edwards .","us howhore , "" booined the Rov Edwards .",,"
    ""We joined the Row Edwards."""
452,""" It 's all very well , "" commented",""" It's all very well , "" commented",,"
""It's all very well,"" commented"
453,Mr. Hayball from the back seat .,Mr. Hayball from the back beat .,,Mr. Hayball from the back street.
454,""" But Eth and me wanted to be",""" But Eth and me wanted to be",,"
But Ethan and I wanted to be"
455,"at the Youth Hostel before dark . ""","at the jouth Hostel before dark . '""",,"
At the youth hostel before dark."
456,Morfydd Owen was silent . But she,Morfyd Owven was nilent . But she,,"
Mordred Owen was silent. But she"
457,looked down at the fast-disappearing,losked down at the fart-disapearing,,"
Looked down at the far-disappearing"
458,"earth , and it seemed to her that she","earth , and it neemed to her that she",,"
Earth, and it seemed to her that she"
459,would never see her Dai again . And,would never ree her Daiagain . And,,"
Would never see her again. And"
460,though half an hour ago she had,though half an hour ago the had,,Though half an hour ago they had
461,regarded this possibility with,slgarded this possibility with,,"
    disregarded this possibility with"
462,"fortitude , it now filled her with","fortitude , it now filled her with",,"
Fortitude now filled her with"
463,dismay . Quietly she began to,dismay . Anietly the bgan to,,"
Dismay, anxiously they began to."
464,"Dai , meanwhile , was pedalling","Dai , meanwhile , was pedalling",,"
Dai, meanwhile, was peddling."
465,furiously on the road . Not a sign of,furiously on the road . Not a nign of,,"
Furiously on the road. Not a sign of."
466,the bus . He passed The Traveller's,the bus . Te pased The Traveller's,,"
The bus passed The Traveller's."
467,"Joy . At last he caught up Mr. Roberts ,","joy . At last he cought un Mr. Roberts ,",,Joy! At last he caught up with Mr. Roberts.
468,walking very dogged towards Llangrwl .,walking vy doged towards dlangrul .,,"
Walking by doggedly towards danger."
469,""" Afternoon , Mr. Roberts , "" he called , polite ,",""" Afternoon , Mr. Roberts , "" he called , polite ,",," ""Good afternoon, Mr. Roberts,"" he called politely."
470,as he shot past . His spirits were rising .,as he shot part . His rpisits were sizing .,,"
As he shot past, his rivals were sizing him up."
471,He had seen no sign of an accident .,He had reen no sign of an accident .,,He had seen no sign of an accident.
472,Therefore Mr. Roberts must have been mistaken .,Therefore Mr. Roberts must have been mistation .,,Therefore Mr. Roberts must have been misstated.
473,He would find the bus safe and sound in,He would find the bus rafe and round in,,He would find the bus fare and ride in
474,"Llangrwl , and his dear Morfydd quietly","Hlangrel , and his dear Mortyd quietly",,"
Hlangrel and his dear Mortyd quietly"
475,But disappointment awaited him . A,But disappointment auraited him . At,,But disappointment awaited him. At
476,"restive queue of people in the bus station ,","sentive quene of people in the bus station ,",,"
Sensitive queue of people in the bus station."
477,waiting to be transported to Dinas . And,qaiting to be transported to Binas . And,,"
Waiting to be transported to Venus. And"
478,"when he went to Morfydd's house , all","when hewvent to Morfyd's house , all",,"
When he went to Morfydd's house, all"
479,"he found was Morfydd's mam , working","hefound was Mortyod's mam , working",,"
He found Mortyod's mom, working."
480,"herself up proper ... Getting dark , now .","herself up proper ... Getting dark , now .",,"
Herself up properly... Getting darker now."
481,The conductor switched on the lights .,The conductor wvitched on the lights .,,"
The conductor switched on the lights."
482,The beleaguered passengers peered out of,The beleaguered passengers peered out of,,"
The beleaguered passengers peered out of the window."
483,"the windows . Little to be seen , only a","the windows . Rittle to be neen , only a",,"
The windows rattle to be seen, only a."
484,"few lone stars , and the distant earth","few lone stars , and the dirtant earth",,"
Few lone stars, and the distant earth."
485,brooding in her shroud of mist .,brooding in her shroud of mist .,,"
Brooding in her shroud of mist."
486,"Megan Thomas sat tight-lipped , nursing","Mlegan Thomas nat tight-lipped , nuning",,"
Mlegan Thomas kept tight-lipped, running."
487,the sleeping Cadwallader . Driver and,the leeping ladwallader . Ariver and,,"
The leaping Ladwallader arrived and."
488,conductor peered ahead into nothingness .,conductor peered ahead into nothingness -,,"
Conductor peered ahead into nothingness."
489,On the back seat Stan Hayball embraced,On the back reat ftan Hapball embraced,,On the back seat fan Happyball embraced
490,his Eth . Morfydd thought of Dai . The,his ith . Morfyold thought of Dai The,,"
His myth. Morfyold thought of Day The."
491,"Rev. Edwards , standing at the front ,","Mer. Edwards , standing at the front ,",,"
Mr. Edwards, standing at the front,"
492,"looked at his forlorn flock . "" What","looked at his forlorn flock . "" What",,"
Looked at his forlorn flock. ""What"
493,"about a verse or two of Cwm Rhondda ? ""","about a vene or two of Cum Rhonda ? """,,"
About a vein or two of Cum Laude?"
494,he suggested hopefully .,he nggented hopefuly .,,He agreed hopefully.
495,"They looked at him , sullen . His heart","They looked athim , sullon . This heart",,"
They looked at him, sullen. This heart."
496,sank . If the Welsh found the situation,rank . If the Welh found the nituation,,"
Rank. If the Welsh found the situation."
497,"too desperate for singing , then the","too desperate for ringing , then the",,"
Too desperate for ringing, then the bells."
498,"situation , he realised , must be desperate","nituation , he realined , munt be desperate",,"
    Situation, he reigned, must be desperate."
499,indeed . But suddenly they were roused,indeed . But nuddenly they were roused,," Indeed, but suddenly they were roused."
500,from their lethargy . Something was,from their lethargy . Romething was,,"
From their lethargy, something was."
501,"approaching , faster , faster , a tearing","approaching , farter , farter , a tearing",,"
Approaching, farther, farther, a tearing."
502,hurrying blur that was past and gone,hurrying bher that was part and gone,,"
Hurrying there that was part and gone"
503,"in a moment , followed by a great","sin a moment , followed by a great",,"
    In a moment, followed by a great"
504,rush of sound . They waved frantically .,ruh of round . They waved frantically .,,"
Run of ground. They waved frantically."
505,"But the jet aircraft was already miles away ,","But the jet aircraft was already miles away ,",,But the jet aircraft was already miles away.
506,"swinging down to the darkening earth . "" It","swinging down to the dontoning earth . "" It",,"
Swinging down to the plummeting earth. ""It"
507,"passed me at fifty thousand feet , sir . It was","passed me at fity thousand feet , Sir . It was",,"
Passed me at fifty thousand feet, Sir. It was"
508,"climbing steadily . "" Group Captain Llewelyn Jones , Officer","climbing steadily . "" Group Captain Clewelyn Joner , officer",," Climbing steadily, ""Group Captain Clewelyn Jones, officer."
509,"Commanding R.A.F. Station , Dinas , looked keenly at the","Commanding R.A.F. Station , Dinas , looded Peenly at the",," Commanding R.A.F. Station, Dinas, flooded Penlly at the"
510,Flying Officer who had burst so unceremoniously into his,Flying officer who had burst so uncremaniously into his,,"
Flying officer who had burst so unceremoniously into his"
511,"office . "" And what did it look like , Broughtons ? Some","office . "" And what did it look like , Broughtons 2 Some",,"
""And what did it look like, Broughton's 2?"""
512,Flying Officer Broughtons shuffled his feet .,Flying Officer Broughtous shutfled his feet,,"
Flying Officer Broughton shuffled his feet."
513,""" Well , actually , sir , it looked like - like a bus .",""" Well , actually , sir , it looked like - like a bus .",,"
""Well, actually, sir, it looked like - like a blob."""
514,"A single-decker , "" he elaborated . Daggers , the","It single-decker . "" he elasorated . Daggts , the",,"
It single-handedly. ""He elaborated. Daggers, the"
515,"Group Captain looked . "" Broughtons , "" he said silkily .","Group Captain looked . "" Broughtous , ' he sail silkily .",,"
Group Captain looked. ""Broughtous,"" he said silkily."
516,""" Didn't they teach you at Cranwell that buses are",Oidin't they teach gau at Cromwell that busses are,,Didn't they teach you at Cromwell that buses are
517,"earth-bound creatures ? Aeroplanes fly , Broughtons .",searth-bound ereateres . Keroplanes fly . Groughtons,,"
Sea-bound creatures. Aeroplanes fly. Gondolas."
518,"Buses crawl . "" Very pale , Broughtons was . But","usses crawl . "" Veng pale , broughtons was . But",,"
""Buses crawl, vengeance pale, brigadons pause. But..."""
519,"determined . "" It was a bus , sir .","detirmikted ' It was a bus , Si",,"
    Determined, It was a bus, Si"
520,They 'd got the lights on . There were people inside .,they'd got the lights on . There wre people inside,,"
They'd got the lights on. There were people inside."
521,"Waving . "" Like gimlets , the Station Commander's eyes .","Waving . "" Like ginlets , the Station Commande's eges -",,"
Waving. ""Like glistens, the Station Commander's edges -"
522,""" Did you see the indicator board ? "" "" Yes , sir . "" "" And",""" Dd you see the indicaton bord ? "" "" Yes , siv . "" "" And",,"
""Did you see the indication board?"" ""Yes, five."" ""And"
523,"what did it say ? Mystery Tour ? "" Oh , very caustic , that","What did it say ? Mystry Tobr ! "" Oh , wry caustic , that",,"
What did it say? Mystery Tobr! ""Oh, very caustic, that."
524,"Group Captain . But Broughtons stood his ground . "" No ,","brop Captain . But Broughtons stood his ground . "" No ,",,"
""No,"" brought Captain Buttons stood his ground."
525,"sir . It said Llangrwl . "" Llewelyn Jones sat","siv . It simply said Clangrwl . "" Clewelgn Jones sat",,"
""Clangrwl,"" Clewelgn Jones sat simply said."
526,"back in his chair . "" I see . So you met a bus at","back in his chain . "" I see . So you met a sus at",,"
Back in his chair. ""I see. So you met a bus at"
527,"All lit up . Full of people waving as you went past . ""","All lit up . Fall of pople woring as gour went post . """,,"
All lit up. Fall of people working as a group went past."
528,"Suddenly he crouched forward . "" Broughtons , if I thought","Bsuddenly he crouched forwnd . "" Broughtons , if I thought",,"
Suddenly he crouched forward. ""Broughtons, if I thought"
529,"there were anything in Queen's Regulations to cover this ,","there were anything in Aren's Megulations to cor this ,",,"
There were nothing in Aren's Regulations to curb this."
530,I 'd have you court-martialled . But I know there,I 'd have you court-martialled . But I know the,,"
I'd have you court-martialed. But I know the"
531,"isn't , "" he ended sadly . "" I tried to read the","isut , "" he ended sadly . "" I tricd to read the",,"
""He ended sadly,"" I tried to read the book."
532,"registration number , sir . But it was getting dark . ""","registration namber , sir . but if was getting dart . """,,"
    Registration number, sir. But if I was getting a start."
